speakerA_name,speakerB_name,speakerA-1,speakerB-2,speakerA-3,speakerB-4,speakerA-5
Rama,Duto Triadji,Terus apa hal-hal berarti hal-hal yang inspirasi lu dalam bikin naskah itu emang dari kehidupan sehari-hari aja tuh,"Ya dari kehidupan sehari-hari aja, kalo gue biasanya sih dari situ. Maksudnya dari ngeliat kelakuan orang seperti apa terus kelakuan temen-temen gue kelakuan bos gue ",Kalo bos lo nonton gimana?,Kan gue udah ga punya kerjaan sekarang ,Oh iya
Duto Triadji,Rama,"Jadi pilihannya adalah kalau lu tanda tangan udah lu malah hari ini hari terakhir lu, terus gue mikir mungkin ini memang saatnya gue mengejar mimpi gue ya","Tadi kata lu, lu gak berminat ",Iya ini mungkin saatnya gue mengejar mimpi gue nih ,Itu memang jalan Tuhan untuk mempertemukan lu ke SUCI ya,"Betul dan itu menurut gue alasan resign yang keren sih, resign karena ikutan SUCI"
Duto Triadji,Rama,"Jadi udah gak terima suci kerjaan pun hilang akhirnya udah sampai sekarang kayak gitu
",Kali aja sobat-sobat lay off yang lain tertarik nih untuk mengembangkan karir menjadi seorang stand up komedian ternyata saran dari Duto sendiri ya jangan,Jangan tolong itu itu pilihan rire yang buruk,Jadi itu bukan pilihan karir yang baik,"Enggak, enggak, enggak, enggak, enggak mendingan jadi kreatif lah"
Rama,Duto Triadji,"Ada QC nya gak sih langsungnya lu minta orang untuk ngecekin ini udah oke belum sih gini-gini kerjaan gue apa materi gue atau enggak
",Ada,Oh ada?,"Ada, pas gue open mic. Ngetes di penonton langsung QC nya itu di penonton ya jadi yang unik dari stand up ini yang gue rasanya ya penonton itu bukan cuma sebagai penonton tapi mereka sebagai editor","Akhirnya jadi ke filter sendiri tema yang cocok ya
"
Rama,Duto Triadji,Gue kira ini terinspirasi dari yang Forbes bukan ya?,"Itu iya, karena itu juga ada salah satu temen gue itu dapet Forbes 30-an",Bayar gak?,Enggak tau gue kalau itu serius-serius itu bercanda gue enggak tau tapi dia dapet,Oke oke
Rama,Duto Triadji,Apa ekspektasi lu deh dengan ngadain solo show ini? kan satu achievement udah unlock ya udah kebuka tuh,Iya ,Apa lu juga gak akan cek ombak lagi kan? open mic berarti udah matang banget materinya nih nanti yang pas solo show,Hopefully sih udah sesuai yang gue pikirkan ya maksudnya udah karena gini kan? maksudnya kita mikirin sesuatu kan? tapi apakah itu bisa terjadi? itu kan lain cerita,Betul
Rama,Duto Triadji,Berarti lu gak akan balik kantoran lagi? kerja lagi enggak?,"Kalau susah balik, iya kalau susah balik",Tetep realistis ya pak ya,"Saya sih kebetulan sekarang masih bisa hidup,  cuma kan gak tau nih ntar kedepannya bakal seperti apa. Kalau misalkan memang susah ya udah lah maksudnya gak usah dengerin orang kejar passion mending kejar BUMN pak",Atau CPNS sebentar lagi buka
Duto Triadji,Rama,Bahkan yang 30 under pressure ini pun gue kayaknya ya kayaknya bakal gue bawa ke luar kota,Jadi akan ada road show-nya juga gitu?,Kayaknya kalau ada peminatnya,Ada pasti,Kalau enggak ada peminatnya buat apa? tapi ya itu pas itu rencana-rencana itu ada cuma itu baru bisa terealisasi ketika yang show ini udah selesai
Rama,Duto Triadji,Jadi setelah show ini lu akan rehat dulu? atau gimana? apa tetep?,"Enggak rehat sih, maksudnya masih tetap, jalanin",Jalanin yang biasa dulu gitu?,Jalanin bahkan masih tetep stand up suma mungkin gue bakal coba cari kalau kata perusahaan stream income yang baru,"Ahhh iya iya, other income"
Rama,Duto Triadji,"Lu ada lagi yang mau lu highlight lagi soal acara lu nggak? ntar takutnya gue lupa, gue masih anak intern",Enggak sih palingan ya itu,Dibeli tiketnya,Acaranya tanggal 21 Oktober bisa dibeli di aplikasi Google Play Store sama App Store lah nanti kalau misalkan udah disana nanti kita ngobrol-ngobrol disana ,"Oh gitu, biasanya apa yang diobrolin?"
Praz Teguh,Dicky Fachrizal,"Lo ini ya, apa abis","Engga, kena minyak",Serius kena minyak gitu?,Iya nanti gue cerita spesial di sini,"Oke oke, sip sip sip"
Dicky Fachrizal,Praz Teguh,"Hilang sekalian, hilang tak berkesan atau hilang berkesan?",Ya pasti tak berkesan lah,Gengggg,"Berkesan, sangat berkesan",Berkesan
Praz Teguh,Dicky Fachrizal,Berapa season aku di situ? empat season,"Empat season, gila. Satu seasonnya 24 episode?","Iya, ada yang setahun 1 season",Ada yang setahun?,Iya total aku tiga tahun
Dicky Fachrizal,Praz Teguh,Boy ini suntik buat umroh,"Oh buat umroh, kapan umroh?",Tanggal 27,"Alhamdulillah, 27 Januari?","Meningitis, iya gitu"
Muhammad Nuzul Sadiq,Dicky Fachrizal,Pertama kali nih?,Kali pertamanya betul,Sendiri tapi?,Sendiri saja tapi baru sama Ustadz Wijayanto,Oh Unstadz Wijayanto
Praz Teguh,Dicky Fachrizal,Kok lu mau dik?,Mau karena,Terlepas dari endorse,"Jadi pas lagi syuting Apose. Gak tau pas tiap lagi break maghrib tuh gue selalu ngebuka HP gitu. Di feed gue gak tau kenapa tiba-tiba gue yang udah banyak Ka'bah gitu. Pas gue klik, minta gue liat, gue nangis sendiri",Emang iya?
Dicky Fachrizal,Praz Teguh,Gak lama abis syuting Apose sekitar 4 sampai 5 hari.,Datang tuh rezeki?,"Nah iya, abis ngelike-in suarga tour gue komen ih mau deh gitu. Terus ngetag-in ke manajer kalo ga salah. Abis itu dari pihak dia langsung DM, kak Dicky mau? kita berangkatin. Ih Ya Allah gitu udah ",Berangkat lah ya,Berangkat lah akhirnya gitu
Dicky Fachrizal,Praz Teguh,"Ada switch on off nya aja gitu Mas, secara otomatis gitu kan. Skala, kalau misalnya pas lagi ngumpul-ngumpul keluarga. Kalau emang itu harusnya keluar keluar juga. Untuk membangun suasana","Iya bener-bener. Secara gak langsung, kan itu udah DNA",DNA,"Iya, ngelucu-ngelucu padahal kita lagi sedih gitu tuh",Ya itu udah
Praz Teguh,Dicky Fachrizal,Karena kalau diem orang yang aneh ngeliat kita,"Betul, iya iya betul","Di tabore berapa kali ya aku tuh, orang foto. Aku lagi banyak ngurus sama si Hai kan, Bang Praz foto dong",Ya Allah,Kok gak se-act out biasanya
Dicky Fachrizal,Praz Teguh,"Terus mau effort gitu buat apa ya sense of belongingnya sebuah kepada suatu program itu tinggi. Jadinya ayo kita duduk bareng buat ngidupin programnya kayak gimana, menurut lu kayak gimana ya? gitu sih menurut gue enak.",Maksudnya suara lu lebih didengerin di sana?,"Iya gitu, didenger gitu","Bukan hanya talent? Lu main aja nih Dik, lu main aja deh udah gue. Padahal lu gak suka. Ah bodoh amat lu tetep main gitu.",Iya
Praz Teguh,Dicky Fachrizal,Tapi lo lebih seneng mana? TV atau ngehost sendiri di Youtube?,TV atau nge-host sendiri di Youtube? Dua-duanya gue seneng. Gak bisa dibilang senengan Youtube atau seneng. Selama fightnya ketika jalanin itu gue nyaman. Jangan ada yang bikin gue kayak maksa gitu,Nah itu ga akan perform tuh?,Gak akan perform pasti kayak gitu kan,Oh iya iya iya
Praz Teguh,Dicky Fachrizal,Ya ada beberapa program gue yang dari mereka.,"Oh dari mereka, bintang tamunya.","Iya, betul karena kebutuhan si channelnya.","Oh kebutuhan channelnya, ngobrol-ngobrol aja udah lu gitu ya",Sekarang tuh gue udah ga kerasa eh sejam aja
Praz Teguh,Dicky Fachrizal,Kayak Dicky cocok main sketsa,Sketsa,Lu lebih seneng sketsa atau host?,Nah sketsa,"Nah sketsa kan? Tuh balik sama aku, aku lebih suka host"
Praz Teguh,Dicky Fachrizal,Ini eksklusif gue ngomong disini.,Eksklusif ya,Bohong gue rasanya kalo cuma kontrak doang ya dik ya?,Atau pulpen abis?,Atau pulpen abis
Praz Teguh,Dicky Fachrizal,Kasian temenku satu itu,Kasian,"Semoga kita juga jauh dari hal-hal gitu.
",Jauhkan dari hal-hal begitu. Ya circle kadang-kadang menentukan juga seperti apa kita kedepannya nanti. Pinter-pinter kita apa milih circle lah.,Bener setuju circle itu
Dicky Fachrizal,Praz Teguh,Mobil CX-5 gue tuh,Oh iya dia baru ada CX-5 waktu itu,Iya baru mau nyicil,Itu masih nyicil waktu itu,"Enggak kuat bayar kan, jujur aja itu"
Dicky Fachrizal,Praz Teguh,Kapan kita main?  lu jago ya?,Ih gue mah pake skillnya Agus,"Ini gue, mas, mas, mas. Gini saya kan tau agus, saya kan tau agus. Kalo udah begini, begini aja, ini alat bantu, ini gak ada mas",Harusnya gini ya,Iya
Praz Teguh,Dicky Fachrizal,Dicky punya tiga amalan yang selalu dilakukan hingga saat ini sampai Dicky sukses. Apa tuh?,"Memuliakan orang tua, memuliakan istri, dan sedekah",Sedekah,Sedekah,Dan itu membuat lu bisa sejauh ini?
Praz Teguh,Dicky Fachrizal,Ditambah saat lu married ya kan,"Iya, ngidupin anak orang ya. Ya Allah",Di awalnya gitu ya,"Iya karena ketakutan, dia sama bapaknya hidupnya senang. Gila sama gue hidupnya susah gimana ya gitu",Waduh kepikiran banget tuh sadiq
Dicky Fachrizal,Praz Teguh,Kan ada yang lagi ganti pick up,Wih pick up apa nih?,"Ya pick up yang biasa aja lah, Semerdanken aja","Tapi yang dari? Semerdanken kan banyak. Dari Sawangan ada yang biki, dari US ada yang bikin",US
Mur,Mbak Barit,"Mbak, Mbak Barit? Mbak Barit mau kemana?",Kenapa Mur? Heboh banget,"Sekarang tuh lagi musim bencana, Mbak. Lagian kan di luar banjir, udah di sini aja","Aman, Mur. Cuma beliin minyak ke sebelah.",Gausah Mbak
Mur,Mbak Barit,"Gimana nanti kalau terjadi yang lebih gede lagi? Gimana kalau ini tanda-tanda kiamat? Naudzubillah, astagfirullah, udah sini",Hah? Kiamat?,"Loh, kiamat kecil loh, Mbak. Kok nggak tau sih?Aku lu takut. Takut mati, gimana kalau mati, Mbak?","Mur, setiap yang bernyawa akan mati. Kamu takut mati? mending dari pada takut mati banyak-banyak berdoa biar bencananya, musibahnya, segera mereda","Wis yaudahlah yaudah, jangan lupa beli jajan juga ya"
Aa Gym,Deddy Corbuzier,"Nah banyaknya orang kebalik dia jadi hamba popularitas, hamba gelar, hamba penampilan, oh banyak.",Tapi mereka merasa bahagia kan a?,"Yang jadi hamba itu nggak bisa. Bahagia semu, bahagia semu",Ohhh,"Aslinya tidak akan pernah tenang karena dunia ini kan tidak diciptakan menentramkan. Jadi dunia berikut isinya ini hanya memuaskan lahiriah, tapi hati nggak pernah puas."
Aa Gym,Deddy Corbuzier,"Itulah sebabnya punya kekayaan itu tetap aja tidak bisa beli ketenangan, ya kan?","Iya benar, benar","Kalau mau jujur ya, kan Aa pernah ngobrol juga dengan siapa tuh? Bang Hotman.
","Oh iya, bang Hotman","Terus cerita juga itu, walaupun cincinnya sebesar apa gitu ya, tetap nggak kebeli bahagia dengan cincin."
Komeng,Adul,Apa betul ini Bung Rhoma?,Ijinkan saya bernyanyi,Oh iya,Satu album,Oh kepenuhan
Komeng,Adul,Kamu tidak sendirian,"Oh, saya tidak sendirian?",Kamu tidak sendirian,Berarti sama siapa?,Itu sama gitar lo
Adul,Desy Ratnasari,Kenapa kau begitu? senang atau sedih?,"Sangat senang sekali, belum ada laki-laki yang melamarku",Oh iya?,Tapi..,Nih jangan curhat tapi ya
dr. Ryan Thamrin,dr. Dede Moeswir,"Nah, secara ilmu penyakit dalam mengenai penyakit autoimun itu didefinisikan seperti apa?","Setiap tubuh manusia itu mempunyai suatu sistem daya pertahanan tubuh. Dan biasanya sistem daya pertahanan tubuh itu berfungsi untuk melawan sesuatu yang asing dari luar.  Nah, pada penyakit autoimun ini sistem pertahanan tubuh tersebut menyerang tubuh sendiri
","Oke, nah jadi istilahnya bukan kesalahan dari penyakit atau faktor eksternal ya. Nah, perjalanannya dari proses penyakit autoimun ini apakah semua golongan usia memiliki faktor resiko?

",Kita bisa melihat bahwa kalau kasus cukup banyak sekitar kalau data di Amerika sekitar 32 juta kasus dan biasanya 8 dari 10 pasien adalah wanita dalam fase produksi.,"Wanita pada fase reproduksi, alis dia produktif"
dr. Ryan Thamrin,dr. Dede Moeswir,"Nah, disini kita ingin membahas yang cukup familiar adalah  Rheumatoid Arthritis dan juga SLA, yaitu lupus. Penyebab dari kedua penyakit ini apa dok?
","Kalau kita lihat penyebab sebenarnya masih dalam tahap penelitian lebih lanjut.  Namun kita bisa menilai bahwa ada faktor genetik maupun faktor lingkungan yang mempengaruhi
",Faktor lingkungan itu berupa?,"Biasanya ada faktor dari gaya hidup yang tidak sehat, tingkat stress yang tinggi. Kemudian faktor fotosensif daripada sinar matahari juga bisa mempengaruhi","Ya, berarti situasi seorang yang senang berjemur. Tapi tidak melihat jam, di saat jam yang sinar matahari sebaiknya dihindari tetap?

"
dr. Ryan Thamrin,dr. Dede Moeswir,Gejala umum yang bisa dilihat masyarakat lah untuk lupus sama reumatoid atritis ini,"Jadi pada awalnya biasanya lupus itu akan bisa melihat pasien itu gampang lelah, sempoyongan, muka pucat, dan yang paling khas tentu adanya ruam kupu-kupu. Jadi ada bercak kemerahan dan sangat sensitif terhadap sinar matahari
"," Jadi kalau kena sinar sedikit pun mau itu jam di bawah jam 9 pagi, belum terik keluar ruam merahnya?","Iya keluar ruam merahnya, betul",Jadi identik kupu-kupu adalah di daerah hidung sama di pipi
dr. Ryan Thamrin,dr. Dede Moeswir,"Nah, kalau untuk reumatoid atritis sendiri, nah ini apalagi isilahnya lebih identik pada wanita dan ibu-ibu","Jadi lupus juga bisa menyerang sendi dan menimbulkan nyeri pada sendi. Begitu juga dengan reumatik, tapi ciri rasanya mungkin kalau reumatik adalah kaku pada pagi hari"," Nah, ini bicara masalah simetris atau asimetris dari sendi yang kaku itu?","Betul, biasanya disipannya simetris ya","Simetris, jadi isilahnya ibu-ibu, kalau misalnya nyeri sendi itu di kaki kanan itu biasa disetai dengan kaki kiri di lokasi yang sama ya"
dr. Ryan Thamrin,dr. Dede Moeswir,Itu kan tadi penanganan yang dilakukan oleh dokter yang bisa dilakukan oleh pribadi atau pasien sendiri,"Ya mungkin hanya bisa sekedar menghilangkan gejala. Tapi untuk kedepannya peran serta daripada pasien tentu memperbaiki gaya hidup, kemudian mengurangi stres dan mungkin beban kerja yang terlalu berlebihan 
",Hal yang sederhana terkadang sering dilupakan masyarakat adalah tentang penurunan berat badan ini mempengaruhi gak?,"Iya, salah satu gejala yang tipikal mungkin ya untuk pasien yang lupus ini adalah mulai menurunnya berat badan",Oh oke
Caesar,Vinisa,"Oke kak vinisa, aku pengen tanya nih Genbi itu apa sih?",Genbi menurut umum Genbi-nya atau BI nya nih?,Genbi dulu deh,"Kalo Genbi itu sebuah komunitas yaitu Generasi Baru Indonesia biasanya teman-teman itu salah tafsir Genbi itu Generasi Bank Indonesia itu salah, yang bener Generasi Baru Indonesia yang mahasiswanyaberhasil menerima beasiswa dari Bank Indonesia ",Oke jadi bisa dikatakan kalau kita sebagai Genbi gitu berarti adalah orang-orang yang sudah mendapatkan beasiswa dari Bank Indonesia
Caesar,Erza,"Kalau boleh tahu, kapan sih berdirinya Genbi ini? siapa nih yang bisa jawab, kak Erza atauu boleh kak Erza","Kenapa tadi dibilang cantik terus kita ada apa perbandingan ganteng akhirnya kita nemuin kata istimewa. Ya istimewa jadi berdiri Genbi itu kenapa dibilang istimewa karena berdirinya itu di tanggal bulan dan tahun yang hampir sama
",Wow,"Jadi tanggal 11 bulan 11, 2011 jadi sebelas sebelas sebelas, angkanya satu
",Wehh keren keren keren
Caesar,Vinisa,"Oke kak finisha aja oke siapa sih yang berhak menerima beasiswa Bank Indonesia?
","Tentunya kalangan mahasiswa yaitu yang mahasiswanya adalah mahasiswa aktif di Universitasnya masing-masing itu tentunya, terus yang kedua ada minimal IPK nya juga itu menentukan bagaimana kita bisa lolos",Jadi ada IPK nya juga ya?,"Ada juga, terus ditanya juga nanti jiwa-jiwa sosial kita di kalangan masyarakat, di kalangan di lingkungan, mungkin bisa di lingkungan rumah sekitar itu juga bisa",Oh jadi gitu
Caesar,Vinisa,Nah aku mau tanya nih sama kak Vinisa dari tiga itu kak Vinisa ada nggak sih rencana  untuk meraih tiga tujuan itu tapi dari diri pribadi kak Vinisa?,Contohnya apa nih kak Caesar?,"Contohnya ya mungkin kayak aku harus begini nih untuk meraih tujuan dari tiga ini, aku nanti kedepan pengen jadi future leader gimana sih caranya aku jadi future leader gitu",Oke tentunya ada sih Kak Caesar kalau dari saya sendiri ini kan kalau dari tujuan 3 genby itu tadi ya kalau saya sih pengennya jadi lidernya nih,"Wow asik jadi leader, iya kita aamiin-in ya teman-teman"
Caesar,Vinisa,Jadi bisa dibilang benefit yang Kak Vinisa dapet yang pertama relasi ya,Tentunya itu sangat penting relasi ya,Yang kedua rasa tanggung jawab?,Iya benar ya rasa tanggung jawab,Dan yang ketiga inisiatif
Caesar,Erza,"Nah rasa yang kak Erza rasain selama jadi Genbi selama ini, sampai detik ini apa sih yang dirasain?","Yang pasti cuma satu, di semua kegiatan kita fun","Wow kita fun, gitu ya","Fun banget fun ya mau kegiatannya itu sosial, sosialisasi ke masyarakat, ketemu sama komunitas-komunitas mahasiswa itu pasti rasanya fun nggak ada rasa terbebani",Oke
Andriy,Franky Jonathan,Gue pengen tau denger dari cerita lu dulu nih. Lu kena ini awalnya gimana bro? dan kapan?,"Awalnya tuh 16 April, itu sekitar jam 6 lah",16 April? Bulan kemaren?,Bulan kemaren,Iya kan? kita recording may ini ya
Andriy,Franky Jonathan,"Cuman gini, videonya itu channelnya jelas gak?","Jelas, channel resmi",Channel resmi,"Tapi saya perhatiin tahunnya sih emang tahun lama tahun 2016, tahun 2010an gitu. Bukan video-video yang sekarang","Oh bukan channel random, terus ada video gitu di upload"
Andriy,Franky Jonathan,"Emang gini, lu sampe akhirnya mau melakukan pekerjaan ini, emang dibayar berapa dibilanginnya?","Dibilangin tepatnya sih nominalnya belum tau, cuman awalnya tuh bilangnya 500 sampai 1 juta per hari gitu
","Eh tunggu tunggu, bentar ya. Berarti kan lu di DM nih iya kan? Lu gak nanya ini dapetnya berapa gitu, gak nanya?
",Enggak sih,Oh lu gak nanya?
Andriy,Franky Jonathan,Jadi dia gak bilang misalnya per like berapa duit gitu?,"Enggak, enggak sama sekali gak ada","Terus lu kasih apa sih waktu itu nama, alamat?","Nama, alamat, nomor handphone, sama nomor rekening, sama bank apa gitu segitu",Oh gitu
Andriy,Franky Jonathan,"Tadi kan berarti lanjut, lu dikontek-kontekkan sama dia via telegram
",Nah disitu baru like 3 video langsung dapet 40 ribuan,Oh langsung di transfer?,Langsung ditransfer,Ohh
Andriy,Franky Jonathan,Tapi atas nama siapanya keliatan gak?,Keliatan keliatan,Perorangan?,Perorangan,"Orang yang ini sama juga namanya?
"
dr. Ryan Thamrin ,Cinta Laura,"Kita bahas dari sini nih, cinta masalah makanan. Bergeser dulu. Di sini cemilan, tapi yang harus Anda perhatikan pada makanan adalah jangan pernah skip sarapan.Setuju?",Setuju banget. ,Kenapa?,"Karena kalau kita mau banyak aktivitas, kita harus punya cukup nutrisi dan glukosa untuk otak kita bisa function yang benar. ","Iya, itu tadi alasan benar sekali menurut cinta bahwa sarapan itu bisa memicu salah satu hormon untuk mengembalikan fungsi dari otaknya. "
dr. Ryan Thamrin ,Cinta Laura,"Cinta kalau tempat tidurnya gimana, maksudnya gambaran kamar tidurnya?","Ya, ini aku ingin tanya, aku kan di Amerika tinggalnya di dorm, asrama sekolah. Jadi kamar aku itu kayak bentuk kotak, rectangle, ada kasur, ada meja belajar, jadi semua barang, terus ada closet kecil. Jadi semua barang-barang aku laptop, handphone, ada di meja belajar, dan kasur aku itu benar-benar sebelah meja belajar. Jadi aku nggak bisa taruh elektronik di tempat lain.",Di luar yang ada hilang.,"Ya, ya.","Nah, untuk situasi kamar tidur memang dianjurkan sih, diusahakan kamar tidur adalah untuk ruang istirahat murni, tapi apabila hal ini tidak bisa dihindarkan."
dr. Ryan Thamrin ,Cinta Laura,"Yang pertama, yang harus diperhatikan adalah matikan elektronik setidaknya satu jam sebelum tidur.",Oke. ,Dilakukan seperti itu? ,"Well, not really. Karena kalau lagi ngerjain PR, kadang-kadang udah jam satu malam, terus capek, baru aku matiin langsung tidur. Jadi nggak nunggu satu jam.","Oh, oke"
dr. Ryan Thamrin ,Cinta Laura,Tapi yang dirasakan memang kualitas tidur agak kurang?,"I don't know, karena aku nggak pernah mikirin itu.","Oke, elektronik ini mengandung gelombang pendek, ya, so wave, ya, dimana itu bisa aja menganggu kualitas tidur Anda. Jadi matikan dari mulai lampu tidur, kemudian elektronik, apalagi handphone. Ini suatu hal yang cukup lumbrah untuk kita biasanya tidak bisa tidur tanpa handphone di sebelah.",Banyak orang taruh handphonenya di bawah bantal.,"Bantal, itu sangat bahaya sekali."
dr. Ryan Thamrin ,Cinta Laura,"Kemudian, jangan pernah coba-coba untuk curi tidur siang.","Oh, really?","Iya, karena tidur siang ini biasanya membuat kita jadinya istilahnya, untuk tidur malam, kebablasan jamnya.Kebablasan tau? ",No.,"Jadi, over."
dr. Ryan Thamrin ,Cinta Laura,"Yang kedua, Cinta bisa ikut yang mana? ",Yang ini.,"Oh, yang ini? Yang di kursi ya?","Ya, begini. ",Itu bagaimana contohin? itu sudah dicontohin. 
Cinta Laura,dr. Ryan Thamrin ,"Kalau ada ininya, kita pegang handle. Tapi karena ini tidak ada, kita mungkin begini. Untuk punggung.",Ini lebih ke arah pinggang dan punggung ya?,Terus sebelah sini juga. Ya. There you go. Dan ini enak.,Kerasa? ,Kerasa banget
Cinta Laura,dr. Ryan Thamrin ,"Kalau lagi penonton di rumah, kerjanya di kantor.
 Ini beneficial banget buat posture punggung.","Oke. Kalau yang ketiga itu, yang ini spesnya juga pelan.
Cuma gini aja. Cuma narik gini. Ini tujuan yang untuk tangan. Sama untuk daerah kaki. Setelah pastinya adalah punggung Anda. Ya, itu. Kemudian ada yoga nih.",Oke,"Yoga itu kan macam-macam. Ada yang bentuk gunung, kemudian ular. Kalau ular pakai matras ya, posisi ular. Karena yoga ini kan juga baik untuk melakukan pernafasan. Bernafas dengan teratur, itu akan mengirimkan energi ke tubuh. Sehingga stamina juga optimal.",Ya. 
dr. Ryan Thamrin ,Cinta Laura,Macam-macam gerakannya. Ada yang gerakan gunung. Coba kita ke depan di sini.,"Disini? Ya, ada gerakan gunung itu aku bisa. Cuma gini aja.",Itu biasanya kita hitung berapa.Sebenarnya diatur dengan pernafasan.Tarik nafas.Tahan. Turun lagi. Seperti itu. Itu sampai 8 kali sambil menenangkan pikiran.,"Ya, it's good.","Ternyata memang gerakan yoga atau istilahnya olahraga ringan. Kalau Anda tidak sempat untuk melakukan olahraga seperti cinta di gym. Ya, apapun harus Anda lakukan untuk memberi rileks pada tubuh Anda.
Terutama pada paru-paru Anda. Sehingga stamina dan energi bisa didapatkan secara optimal setiap hari. Setelah ini masih banyak informasi di Dokter Us Indonesia. Jadi jangan kemana-mana. Tetap di Dokter Us."
Andriy,Franky Jonathan,"Lo di invite langsung masuk ke grup abis itu terima 40 ribu
itu tuh lo di invite ke grup telegram?","Yap, Itu grupnya banyak banget 3 ribu orang gak salah
",3 ribu orang? Tapi telegram emang bisa banyak sih,Iya tapi menurut saya itu emang ya itu bohongan semua lah orangnya, Bohongan?
Andriy,Franky Jonathan,"Lu tau dari mana tuh 3 ribu orang itu orang-orang dia semua? kan bisa jadi juga ada kayak yang lu juga kan?
",Masalahnya itu balik aja kayak yang ketikannya ketikan kayak bot gitu loh,"Oh yang aktif, yang aktif ngechat itu kayak ketikan bot",Iya kayak ketikan bot gitu,Emmm
Franky Jonathan,Andriy,"Tapi yang anehnya ya, jadi ada satu member profil picturenya cewek. Dia manggil saya koh gitu, dia tau saya tuh Chinese tau dari mana? Padahal saya belum ngomong apa-apa di grup, agak aneh
",Lu di telegram pasang profile picture gak?,"Enggak, enggak pasang. Pasang pun seolah saya cuman wallpaper biasa aja bukan muka",Oh oke,Agak aneh gitu kan dia bisa tau saya gitu
Andriy,Franky Jonathan,Ini dalam waktu yang cepet? sama?,"Cepet, cepet banget, sama.",Berdekatan?,Dari jam 6 pokoknya terakhir tuh sampai jam 9,Oke berarti di tanggal 16 April ini ya?
Andriy,Franky Jonathan,"Nah ini nih, ini berarti lu setor lagi yang ini nih?","Setor, setor yang satu juta itu",Oh lu ambil yang paling bawah lagi?,Paling bawah terus,Okee
Franky Jonathan,Andriy,Pas udah satu juta saya di undang ke grup kecil gitu,Telegram juga?,"Telegram juga. Jadi isinya saya, terus tiga orang random sama satu PICnya",PIC yang sama?,"Beda, beda orang lagi"
Andriy,Franky Jonathan,"Duit lu gak bakal balik kalau lu lewat? Jadi gini, ini berarti lu udah setor kan satu juta?","Udah, udah masuk satu juta. Nah pas satu juta masuk tuh misi pertama",Apa tuh?,"Sama, link Shopee. Cuman nominal barangnya satu juta. Kalau yang tadi 200 ribu, barangnya 200 ribu.",Pokoknya total di check out satu juta?
Andriy,Franky Jonathan,Kalau tadi sebelumnya kan lu dikasih misi buat check out Shopee tadi yang 200 ribu itu langsung balik,Langsung balik,Langsung balik. Nah yang satu juta ini berarti dia engga ngomong di awal kalau tiap misi total 4 itu lu langsung dibalikin dengan bonusnya 1 juta tadi?,"Enggak, enggak bilang",Oh gak bilang
Andriy,Franky Jonathan,Oh lu malah memilih untuk melanjutkan?,Iya lanjutin 3 juta ,Kenapa bro? Karena? Karena apa?,"Karena ya pikiran polos saya gitu awalnya dapet duit kepancing-kepancing. Jadi ya mikir dapet duit lagi kan, jadi saya juga gak mikir ini penipuan sama sekali",Heem
Andriy,Franky Jonathan,Hah? tunggu tunggu 1 juta itu lu ambil dari pinjol?,Iya,Yang untuk misi 1 juta ini?,Iya,Kenapa gak pake duit sendiri?
Andriy,Franky Jonathan,3 juta lu ambil pake pinjol kenapa gak pake duit sendiri?,"Karena gak ada, saya gak megang segitu waktu itu","Terus lu minjem pinjol? enggak gini pinjol kan lu berarti kan harus download dulu aplikasi, lu harus ya setau gue ya harus foto selfie, KTP blablabla daftar dulu. Emang langsung cair?","Nah kebetulan banget saya tuh sebenarnya ada aplikasi pinjol, cuman saya gak pernah pake
",Oh di handphone lu ada?
Andriy,Franky Jonathan,Yang 8 juta lu duitnya dari mana lagi?,Pinjol lagi,Pinjol yang sama?,Pinjol yang sama,8 juta?
Andriy,Franky Jonathan,"Tunggu tunggu, kenapa lu akhirnya cuma bisa kepilih yang 6 bulan. Emang gak bisa milih yang sebulan opsinya?","Awalnya saya milih sebulan cuman pas sebulan tuh kayak gagal atau apa gitu terus pas saya coba lagi kepilihnya 6 bulan, gak sengaja",Terus duitnya tetep udah cair?,"Cair. Terus saya kayak ini jadi banyak banget, jadi 15 juta. Terus saya hitung lagi tuh kalau misalnya di hitung-hitung masih untung","Emm ini jadi kaya orang  yang menang-menang eh kalah kalah. Masih ada duit tambahin, gataunya kalah terus
"
Andriy,Franky Jonathan,"Emang buat cairin ini yang tadi dibilangin pajak 6 juta ini harus setor lagi?
",Harus setor lagi,Sejumlah 6 juta?,Sejumlah 6 juta,"Sejumlah 6 juta tapi pajak cairin 6 juta. Itu gimana?
"
Andriy,Franky Jonathan,Utang pinjol lu jadi berapa total semua?,"Total yang mesti saya bayar 27 dari 21 juta yang saya pinjem
","27 juta tuh mesti dibayar, lu sekarang udah dibayar atau?","Udah setengahnya lah, karena saya jadi jual barang-barang saya
","Lu jual barang-barang lu akhirnya buat lunasin pinjol ini?
"
Andriy,Franky Jonathan,Udah sempet nanya gak ke bank atau polisi?,"Pas setelah seminggu tuh sih saya tanya ke bank katanya masih dalam tahap investigasi
","Tahap investigasi, tapi bisa gak sih kayak gitu di void transaksinya? kayaknya gak bisa deh
","Saya sih kalau udah ketipu gini ya udah gak ngarep lagi sih duitnya balik sih. Kemungkinan kecilnya sih udah kayak gak mungkin punya balik
",Gak mungkin punya balik?
